image_name,object_id,category_id,object_area,image_area,object_area_percentage,background_removed
000000037777.jpg,3,67,6362,80960,7.858201581027668,False
000000037777.jpg,4,82,7179,80960,8.867341897233201,False
000000037777.jpg,6,79,3719,80960,4.5936264822134385,False
000000397133.jpg,1,67,54331,273280,19.881074355971897,False
000000252219.jpg,0,1,8868,273920,3.237441588785047,False
000000397133.jpg,2,1,17781,273280,6.506513466042155,False
000000252219.jpg,1,1,8741,273920,3.1910776869158877,False
000000252219.jpg,2,1,11707,273920,4.273875584112149,False
000000403385.jpg,0,70,16915,327040,5.172150195694717,False
000000174482.jpg,0,2,72103,248320,29.03632409793814,False
000000397133.jpg,16,79,7524,273280,2.7532201405152223,False
000000403385.jpg,1,81,7670,327040,2.3452788649706457,False
000000174482.jpg,8,8,11334,248320,4.564271907216495,False
000000331352.jpg,0,70,49500,175500,28.205128205128204,False
000000458054.jpg,0,70,47564,272640,17.445715962441312,False
000000491497.jpg,0,72,16426,187500,8.760533333333333,False
000000458054.jpg,1,70,24371,272640,8.938893779342722,False
000000296649.jpg,0,3,9275,273280,3.393954918032787,False
000000491497.jpg,11,63,30194,187500,16.103466666666666,False
000000296649.jpg,3,4,7219,273280,2.6416129976580796,False
000000386912.jpg,0,1,33436,307200,10.884114583333334,False
000000348881.jpg,1,5,19538,295680,6.607819264069264,False
000000458054.jpg,3,70,13838,272640,5.07555751173709,False
000000296649.jpg,4,4,8375,273280,3.0646223653395785,False
000000386912.jpg,14,72,24695,307200,8.038736979166666,False
000000458054.jpg,4,70,7381,272640,2.707232981220657,False
000000296649.jpg,7,1,8590,273280,3.1432962529274002,False
000000181666.jpg,2,20,5520,272000,2.0294117647058822,False
000000458054.jpg,5,70,5575,272640,2.0448210093896715,False
000000289393.jpg,1,25,9841,307200,3.2034505208333335,False
000000296649.jpg,8,1,7959,273280,2.9123975409836063,False
000000458054.jpg,6,70,7903,272640,2.898694248826291,False
000000289393.jpg,2,21,35259,307200,11.4775390625,False
000000458054.jpg,7,70,47928,272640,17.579225352112676,False
000000017627.jpg,1,3,6187,307200,2.0139973958333335,False
000000143931.jpg,0,6,226984,307200,73.88802083333333,False
000000460347.jpg,3,6,17646,273280,6.457113583138173,False
000000463730.jpg,2,6,32975,273280,12.066378805620609,False
000000303818.jpg,0,6,31025,307200,10.099283854166668,False
000000308394.jpg,0,1,26006,273920,9.49401285046729,False
000000303818.jpg,2,3,7813,307200,2.5432942708333335,False
000000308394.jpg,2,15,45051,273920,16.44677278037383,False
000000456496.jpg,3,1,19806,272640,7.264524647887324,False
000000122745.jpg,0,13,15665,307200,5.099283854166667,False
000000041888.jpg,0,16,6566,307200,2.1373697916666665,False
000000297343.jpg,0,13,25969,276480,9.392722800925926,False
000000041888.jpg,2,16,9835,307200,3.201497395833333,False
000000336587.jpg,0,13,7390,307200,2.4055989583333335,False
000000555705.jpg,0,17,48040,237440,20.23247978436658,False
000000403817.jpg,0,17,48663,187500,25.953599999999998,False
000000219578.jpg,0,18,51029,273280,18.67278981264637,False
000000025560.jpg,0,72,85204,307200,27.735677083333332,False
000000219578.jpg,1,17,13601,273280,4.976946721311475,False
000000418281.jpg,0,21,11720,273280,4.28864168618267,False
000000403817.jpg,2,72,32924,187500,17.55946666666667,False
000000219578.jpg,3,63,69383,273280,25.388978337236534,False
000000329323.jpg,2,1,7331,272000,2.695220588235294,False
000000314294.jpg,0,22,21496,230400,9.32986111111111,False
000000329323.jpg,3,1,11498,272000,4.2272058823529415,False
000000329323.jpg,6,1,31611,272000,11.62169117647059,False
000000329323.jpg,7,1,8788,272000,3.2308823529411765,False
000000312421.jpg,2,4,8419,273280,3.0807230679156907,False
000000329323.jpg,8,1,22894,272000,8.416911764705883,False
000000233771.jpg,4,1,22713,409600,5.545166015625,False
000000312421.jpg,3,1,7924,273280,2.8995901639344264,False
000000301867.jpg,3,1,28113,307200,9.1513671875,False
000000329323.jpg,11,1,6065,272000,2.2297794117647056,False
000000475779.jpg,0,22,98601,307200,32.0966796875,False
000000185250.jpg,0,18,10216,255360,4.00062656641604,False
000000312421.jpg,7,28,42414,273280,15.52034543325527,False
000000329323.jpg,12,1,6335,272000,2.329044117647059,False
000000301867.jpg,4,1,31428,307200,10.23046875,False
000000233771.jpg,6,6,22688,409600,5.5390625,False
000000185250.jpg,1,1,15757,255360,6.170504385964913,False
000000270244.jpg,0,24,25385,273920,9.267304322429906,False
000000301867.jpg,5,1,26191,307200,8.525716145833332,False
000000233771.jpg,7,28,16975,409600,4.144287109375,False
000000312421.jpg,11,28,12219,273280,4.4712382903981265,False
000000430961.jpg,1,1,30867,143550,21.502612330198538,False
000000016228.jpg,0,19,18658,281600,6.625710227272727,False
000000266409.jpg,0,1,22537,307200,7.336263020833334,False
000000016228.jpg,17,7,34181,281600,12.138139204545455,False
000000577539.jpg,0,51,118282,167000,70.82754491017964,False
000000476258.jpg,0,1,26354,234880,11.220197547683924,False
000000349860.jpg,1,1,10052,272640,3.686913145539906,False
000000476258.jpg,1,41,7041,234880,2.997700953678474,False
000000577539.jpg,3,52,4096,167000,2.452694610778443,False
000000035197.jpg,0,1,44556,274560,16.228146853146853,False
000000180135.jpg,0,1,58251,166500,34.98558558558559,False
000000104612.jpg,0,56,22678,307200,7.382161458333333,False
000000577539.jpg,4,1,17183,167000,10.289221556886227,False
000000104612.jpg,3,56,12996,307200,4.23046875,False
000000109798.jpg,0,60,25724,166500,15.449849849849851,False
000000104612.jpg,6,56,13842,307200,4.505859375,False
000000109798.jpg,1,60,15584,166500,9.35975975975976,False
000000370677.jpg,1,1,28728,166000,17.306024096385542,False
000000486438.jpg,2,60,21067,273280,7.708943208430913,False
000000370677.jpg,2,1,22943,166000,13.821084337349399,False
000000369370.jpg,0,54,99277,307200,32.316731770833336,False
000000486438.jpg,3,60,21462,273280,7.8534836065573765,False
000000502737.jpg,0,1,38911,307200,12.666341145833334,False
000000400573.jpg,3,60,16993,307200,5.531575520833333,False
000000369370.jpg,2,54,27665,307200,9.005533854166666,False
000000238866.jpg,1,60,7030,280960,2.502135535307517,False
000000486438.jpg,5,60,10256,273280,3.752927400468384,False
000000369370.jpg,4,55,7941,307200,2.5849609375,False
000000486438.jpg,6,60,8586,273280,3.1418325526932085,False
000000180560.jpg,0,1,75271,272640,27.608201291079816,False
000000502737.jpg,2,1,170213,307200,55.407877604166664,False
000000438862.jpg,1,1,23565,273280,8.62302400468384,False
000000369370.jpg,6,67,23602,307200,7.682942708333333,False
000000486438.jpg,8,60,16947,273280,6.201331967213115,False
000000180560.jpg,1,1,91906,272640,33.709653755868544,False
000000238866.jpg,8,60,7603,280960,2.7060791571753984,False
000000502737.jpg,3,47,36857,307200,11.997721354166666,False
000000039956.jpg,0,65,36914,273280,13.507757611241217,False
000000321214.jpg,0,1,126721,307200,41.25032552083333,False
000000039956.jpg,1,62,10003,273280,3.660348360655738,False
000000438862.jpg,7,1,12490,273280,4.570403981264636,False
000000474028.jpg,1,1,21382,273280,7.824209601873536,False
000000355257.jpg,1,65,52664,273280,19.271077283372364,False
000000321214.jpg,2,62,25039,307200,8.150716145833334,False
000000199551.jpg,0,65,132782,273920,48.47473714953271,False
000000355257.jpg,2,1,13338,273280,4.880708430913349,False
000000199551.jpg,1,1,17665,273920,6.448963200934579,False
000000473237.jpg,0,62,11915,272640,4.370231807511737,False
000000228144.jpg,0,62,35681,272640,13.087221244131456,False
000000206027.jpg,0,44,19355,307200,6.300455729166667,False
000000228144.jpg,1,62,63204,272640,23.182218309859152,False
000000206027.jpg,1,44,18963,307200,6.1728515625,False
000000473237.jpg,2,59,14549,272640,5.336340962441315,False
000000023899.jpg,0,1,101273,272000,37.232720588235296,False
000000228144.jpg,2,62,17701,272640,6.492444248826292,False
000000206027.jpg,2,44,25070,307200,8.160807291666666,False
000000023899.jpg,1,1,19325,272000,7.104779411764706,False
000000239347.jpg,3,1,6586,307200,2.1438802083333335,False
000000544519.jpg,1,1,191579,273280,70.10355679156909,False
000000578500.jpg,6,63,15078,185600,8.123922413793103,False
000000340175.jpg,0,62,10377,252160,4.115244289340102,False
000000551215.jpg,0,1,38104,307200,12.403645833333334,False
000000578500.jpg,7,63,4716,185600,2.540948275862069,False
000000366141.jpg,0,72,8442,307200,2.748046875,False
000000514508.jpg,4,1,6894,307200,2.244140625,False
000000206027.jpg,5,44,21058,307200,6.854817708333333,False
000000340175.jpg,1,62,5521,252160,2.1894828680203045,False
000000578500.jpg,13,62,16159,185600,8.706357758620689,False
000000434230.jpg,0,1,3201,156500,2.045367412140575,False
000000366141.jpg,2,63,36232,307200,11.794270833333332,False
000000057597.jpg,4,1,6432,272640,2.359154929577465,False
000000366141.jpg,3,62,17168,307200,5.588541666666667,False
000000340175.jpg,3,67,6799,252160,2.6963039340101522,False
000000057597.jpg,5,1,5516,272640,2.023180751173709,False
000000559842.jpg,5,1,6659,273280,2.4366949648711946,False
000000399462.jpg,3,38,4203,135300,3.106430155210643,False
000000340175.jpg,4,15,7076,252160,2.8061548223350252,False
000000261061.jpg,4,64,4949,167000,2.9634730538922156,False
000000559842.jpg,7,1,6332,273280,2.317037470725995,False
000000383384.jpg,11,1,8744,230400,3.795138888888889,False
000000559842.jpg,9,1,5768,273280,2.110655737704918,False
000000095786.jpg,0,47,34648,167000,20.747305389221555,False
000000559842.jpg,14,1,6766,273280,2.4758489461358315,False
000000217285.jpg,2,1,12729,273280,4.657860070257612,False
000000213086.jpg,0,1,29183,187500,15.564266666666668,False
000000236412.jpg,0,59,141713,307200,46.130533854166664,False
000000217285.jpg,3,1,13991,273280,5.119657494145199,False
000000095786.jpg,2,86,50412,167000,30.18682634730539,False
000000213086.jpg,1,79,64390,187500,34.34133333333334,False
000000326541.jpg,3,1,9356,230400,4.060763888888888,False
000000217285.jpg,4,1,12528,273280,4.5843091334894615,False
000000153343.jpg,0,88,27071,307200,8.812174479166666,False
000000326541.jpg,4,1,37728,230400,16.375,False
